instruction,response
Show me all contacts with last name = redisoffDBon29March,"[[{""value"":""redisoffDBon29March"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as redisoffDBon29Marchnonshared,"[[{""value"":""redisoffDBon29Marchnonshared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly redisoffDBon31Marnonsharedcampaign,"[[{""value"":""redisoffDBon31Marnonsharedcampaign"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly redisoffDBon31Marsharedcampaign1attempt,"[[{""value"":""redisoffDBon31Marsharedcampaign1attempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = redisONDBOFF1AprNonshared,"[[{""value"":""redisONDBOFF1AprNonshared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals redisONDBOFF1Marnonshared,"[[{""value"":""redisONDBOFF1Marnonshared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = redisonDBoff31Marnonshared,"[[{""value"":""redisonDBoff31Marnonshared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as redisonDBoff31Marnonsharedautomation,"[[{""value"":""redisonDBoff31Marnonsharedautomation"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is redisonDBoff31Marsharedautomationnew,"[[{""value"":""redisonDBoff31Marsharedautomationnew"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly redisonDBoff31Marsharedcampaign,"[[{""value"":""redisonDBoff31Marsharedcampaign"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly redisonDBon29March2nonshared,"[[{""value"":""redisonDBon29March2nonshared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as redisonDBon29March2shared,"[[{""value"":""redisonDBon29March2shared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals redisonDBon30Marnonsharedautomation,"[[{""value"":""redisonDBon30Marnonsharedautomation"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as redisonDBon30Marshared,"[[{""value"":""redisonDBon30Marshared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals redisonDBon30Marsharedautomation,"[[{""value"":""redisonDBon30Marsharedautomation"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is redisoptimization,"[[{""value"":""redisoptimization"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly Redistest,"[[{""value"":""Redistest"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as samebusinessnonshared,"[[{""value"":""samebusinessnonshared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly samecontact,"[[{""value"":""samecontact"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as samecontact2,"[[{""value"":""samecontact2"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly sanitytest1june,"[[{""value"":""sanitytest1june"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = sanitytest1june,"[[{""value"":""sanitytest1june"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly sharedcampaign,"[[{""value"":""sharedcampaign"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as sharedcampaign12marchattemptfour,"[[{""value"":""sharedcampaign12marchattemptfour"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals sharedcampaign20march,"[[{""value"":""sharedcampaign20march"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals sharedcampaign,"[[{""value"":""sharedcampaign"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as singlestepautomation,"[[{""value"":""singlestepautomation"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = Tandel1,"[[{""value"":""Tandel1"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = textmessagetest,"[[{""value"":""textmessagetest"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly Tiwari1,"[[{""value"":""Tiwari1"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is validateAutomation,"[[{""value"":""validateAutomation"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals Loc_28,"[[{""value"":""Loc_28"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = Loc_30,"[[{""value"":""Loc_30"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = Loc_40,"[[{""value"":""Loc_40"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with marketing email subscribed as True and Find customers with email filled in,"[[{""value"":true,""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""marketing_email_subscribed""},{""operator"":""is_not_blank"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Find all clients where marketing text message subscribed is exactly True and Show me contacts who have mobile phone number,"[[{""value"":true,""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""marketing_text_message_subscribed""},{""operator"":""is_not_blank"",""filter_type"":""contact_property"",""property_name"":""mobile_phone_number""}]]"
Show contacts with active membership as True,"[[{""value"":true,""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""active_membership""}]]"
Find customers where past membership names is not empty and Exclude customers with active membership = True and Show me contacts whose membership status isn't Suspended and Find customers where membership status is not Declined,"[[{""operator"":""is_not_blank"",""filter_type"":""contact_property"",""property_name"":""past_membership_names""},{""value"":true,""operator"":""not_equals"",""filter_type"":""contact_property"",""property_name"":""active_membership""},{""value"":""Suspended"",""operator"":""not_equals"",""filter_type"":""contact_property"",""property_name"":""membership_status""},{""value"":""Declined"",""operator"":""not_equals"",""filter_type"":""contact_property"",""property_name"":""membership_status""}]]"
Show contacts with membership status as Declined,"[[{""value"":""Declined"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""membership_status""}]]"
Find customers where membership status is Expired,"[[{""value"":""Expired"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""membership_status""}]]"
Show contacts with active membership as False,"[[{""value"":false,""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""active_membership""}]]"
Find all clients where membership status is exactly Suspended,"[[{""value"":""Suspended"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""membership_status""}]]"
Show me all contacts with membership status = Terminated,"[[{""value"":""Terminated"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""membership_status""}]]"
Get customers whose last name equals Loc_1,"[[{""value"":""Loc_1"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is Loc_10,"[[{""value"":""Loc_10"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me clients who have purchased,"[[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""purchased""}]]"
Get all contacts that purchased,"[[{""metadata"":[{""key"":""client_service_package"",""value"":true,""operator"":""equals""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""purchased""}]]"
Find customers who purchased,"[[{""metadata"":[{""key"":""description"",""value"":[""Classpass"",""classpass"",""Class pass"",""class pass"",""ClassPass"",""Class Pass""],""operator"":""any_of""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""purchased""}]]"
Find customers who purchased,"[[{""metadata"":[{""key"":""description"",""value"":[""Groupon"",""groupon"",""Group on"",""group on"",""Group On"",""GroupOn""],""operator"":""any_of""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""purchased""}]]"
Get customers whose last name equals redisoffDBOFF31Marsharedcampaign,"[[{""value"":""redisoffDBOFF31Marsharedcampaign"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers whose first name contains 12SepLoc1_,"[[{""value"":""12SepLoc1_"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""first_name""}]]"
Show contacts with last name as 2023,"[[{""value"":""2023"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as tiw,"[[{""value"":""tiw"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly shared,"[[{""value"":""shared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals shared,"[[{""value"":""shared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals Patil,"[[{""value"":""Patil"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as Last,"[[{""value"":""Last"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me contacts with ab in their last name,"[[{""value"":""ab"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find people who delivered email,"[[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""delivered_email"",""marketing_source"":true,""occurred_within_minutes_ago"":10080}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""delivered_text_message"",""marketing_source"":true,""occurred_within_minutes_ago"":10080}]]"
Find customers where last name is Loc_Mar016_01,"[[{""value"":""Loc_Mar016_01"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me clients who have delivered email,"[[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""delivered_email"",""last_occurred_within_minutes_ago"":1440}]]"
Get customers whose marketing email subscribed equals True and Get all clients where email has gourav and List customers with m in first name,"[[{""value"":true,""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""marketing_email_subscribed""},{""value"":""gourav"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""email""},{""value"":""m"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""first_name""}]]"
Get all contacts that contact created,"[[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""contact_created"",""first_occurred_within_minutes_ago"":1440}]]"
Find customers where last name is Loc_Apr01_01,"[[{""value"":""Loc_Apr01_01"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers whose last name contains a,"[[{""value"":""a"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers whose first name contains FNameMay14_100,"[[{""value"":""FNameMay14_100"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""first_name""}]]"
List customers with FNameMay14_01_200 in first name,"[[{""value"":""FNameMay14_01_200"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""first_name""}]]"
Find all clients where transactional email subscribed is exactly True and Show me contacts who have email,"[[{""value"":true,""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""transactional_email_subscribed""},{""operator"":""is_not_blank"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Find customers where transactional text message subscribed is True and Show me contacts who have mobile phone number,"[[{""value"":true,""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""transactional_text_message_subscribed""},{""operator"":""is_not_blank"",""filter_type"":""contact_property"",""property_name"":""mobile_phone_number""}]]"
Find customers who visited,"[[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""visited"",""multi_location_most_recent"":{""match_contacts_on"":[""email"",""mobile_phone_number""],""include_this_location"":false}}]]"
List customers with visited,"[[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""visited"",""multi_location_most_recent"":{""match_contacts_on"":[""email"",""mobile_phone_number""],""include_this_location"":false}}]]"
Get all contacts that booked appointment recently,"[[{""metadata"":[{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""},{""key"":""start_at"",""value"":0,""operator"":""less_than_minutes_ago""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""min_occurrences"":10,""interaction_type"":""booked_appointment""}]]"
Get all contacts that booked appointment recently,"[[{""metadata"":[{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""},{""key"":""start_at"",""value"":0,""operator"":""less_than_minutes_ago""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""min_occurrences"":100,""interaction_type"":""booked_appointment""}]]"
Find customers who booked appointment recently,"[[{""metadata"":[{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""},{""key"":""start_at"",""value"":0,""operator"":""less_than_minutes_ago""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""min_occurrences"":200,""interaction_type"":""booked_appointment""}]]"
Find customers who booked appointment recently,"[[{""metadata"":[{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""},{""key"":""start_at"",""value"":0,""operator"":""less_than_minutes_ago""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""min_occurrences"":5,""interaction_type"":""booked_appointment""}]]"
Show me clients who have booked appointment recently,"[[{""metadata"":[{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""},{""key"":""start_at"",""value"":0,""operator"":""less_than_minutes_ago""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""min_occurrences"":500,""interaction_type"":""booked_appointment""}]]"
Find customers who booked appointment recently,"[[{""metadata"":[{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""},{""key"":""start_at"",""value"":0,""operator"":""less_than_minutes_ago""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""min_occurrences"":5,""interaction_type"":""booked_appointment""}]]"
Find customers who booked appointment recently,"[[{""metadata"":[{""key"":""start_at"",""value"":0,""operator"":""greater_than_minutes_ago""},{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""booked_appointment""}]]"
Show me clients who have booked appointment in the last 1 hours and Get contacts without booked appointment and Get contacts without booked appointment,"[[{""metadata"":[{""key"":""start_at"",""value"":10080,""operator"":""greater_than_minutes_ago""},{""key"":""start_at"",""value"":60,""operator"":""less_than_minutes_ago""},{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""booked_appointment""},{""metadata"":[{""key"":""start_at"",""value"":10080,""operator"":""less_than_minutes_ago""},{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_no_interaction"",""filter_type"":""interaction"",""multi_location"":{""match_contacts_on"":[""email"",""mobile_phone_number""],""include_this_location"":true},""interaction_type"":""booked_appointment""},{""metadata"":[{""key"":""start_at"",""value"":10080,""operator"":""greater_than_minutes_ago""},{""key"":""start_at"",""value"":60,""operator"":""less_than_minutes_ago""},{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_no_interaction"",""filter_type"":""interaction"",""multi_location"":{""match_contacts_on"":[""email"",""mobile_phone_number""],""include_this_location"":false},""interaction_type"":""booked_appointment""}]]"
Show me clients who have not booked appointment,"[[{""metadata"":[{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_no_interaction"",""filter_type"":""interaction"",""multi_location"":{""match_contacts_on"":[""email"",""mobile_phone_number""],""include_this_location"":true},""interaction_type"":""booked_appointment""}]]"
Show me clients who have booked appointment and Show me clients who have not booked appointment,"[[{""metadata"":[{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""booked_appointment""},{""metadata"":[{""key"":""start_at"",""value"":64800,""operator"":""greater_than_minutes_ago""}],""operator"":""has_no_interaction"",""filter_type"":""interaction"",""interaction_type"":""booked_appointment""}]]"
Find customers who booked appointment in the last 60 days and Show me clients who have booked appointment and Find people who never booked appointment,"[[{""metadata"":[{""key"":""start_at"",""value"":86400,""operator"":""less_than_minutes_ago""},{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""max_occurrences"":1,""interaction_type"":""booked_appointment""},{""metadata"":[{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""max_occurrences"":1,""interaction_type"":""booked_appointment""},{""metadata"":[{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_no_interaction"",""filter_type"":""interaction"",""multi_location"":{""match_contacts_on"":[""email"",""mobile_phone_number""],""include_this_location"":false},""interaction_type"":""booked_appointment""}]]"
Find people who booked appointment in the last 60 days and List customers with booked appointment recently,"[[{""metadata"":[{""key"":""start_at"",""value"":86400,""operator"":""greater_than_minutes_ago""},{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""booked_appointment""},{""metadata"":[{""key"":""start_at"",""value"":0,""operator"":""less_than_minutes_ago""},{""key"":""changed_or_canceled"",""value"":false,""operator"":""equals""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""booked_appointment""}],[{""metadata"":[{""key"":""start_at"",""value"":86400,""operator"":""greater_than_minutes_ago""},{""key"":""status"",""value"":[""Completed"",""Arrived"",""Signed-In"",""Made-Up""],""operator"":""any_of""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""visited""},{""metadata"":[{""key"":""start_at"",""value"":0,""operator"":""less_than_minutes_ago""},{""key"":""status"",""value"":[""Completed"",""Arrived"",""Signed-In"",""Made-Up""],""operator"":""any_of""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""visited""}]]"
Show me all contacts with last name = Tiwari1,"[[{""value"":""Tiwari1"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals Tiwari1,"[[{""value"":""Tiwari1"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose email equals wilkin.ramirez@gmail.com,"[[{""value"":""wilkin.ramirez@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}],[{""value"":""sandeeptiwari+223@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Find customers where account email opt in is not empty,"[[{""value"":null,""operator"":""is_not_blank"",""filter_type"":""contact_property"",""property_name"":""account_email_opt_in""}]]"
Show me contacts who have account email opt in,"[[{""value"":null,""operator"":""is_not_blank"",""filter_type"":""contact_property"",""property_name"":""account_email_opt_in""}]]"
Get all clients with a account email opt in,"[[{""value"":null,""operator"":""is_not_blank"",""filter_type"":""contact_property"",""property_name"":""account_email_opt_in""}]]"
